Precision,Recall,F1
0.9818,0.9818,0.9818
0.9821,0.9821,0.9821
0.9811,0.9811,0.9811
0.9818,0.9818,0.9818
0.981,0.981,0.981
0.9812,0.9812,0.9812
0.9817,0.9817,0.9817
0.9808,0.9808,0.9808
0.9817,0.9817,0.9817
0.9816,0.9816,0.9816
0.9806,0.9806,0.9806
0.9806,0.9806,0.9806
0.9808,0.9808,0.9808
0.9806,0.9806,0.9806
0.9813,0.9813,0.9813
0.9804,0.9804,0.9804
0.9812,0.9812,0.9812
0.9804,0.9804,0.9804
0.9803,0.9803,0.9803
0.9803,0.9803,0.9803
