Precision,Recall,F1
0.9111,0.9098,0.9104
0.9099,0.9085,0.9092
0.9114,0.9108,0.9111
0.9133,0.912,0.9126
0.9116,0.911,0.9113
0.9131,0.9119,0.9125
0.9142,0.9132,0.9137
0.9124,0.9111,0.9118
0.9163,0.9148,0.9155
0.911,0.9093,0.9102
0.9093,0.9081,0.9087
0.9099,0.9089,0.9094
0.9087,0.9086,0.9087
0.9098,0.9086,0.9092
0.9077,0.9069,0.9073
0.9103,0.9094,0.9098
0.9082,0.9068,0.9075
0.9071,0.9067,0.9069
0.9125,0.9117,0.9121
0.9104,0.9087,0.9096
