Precision,Recall,F1
0.8777,0.9012,0.8893
0.8794,0.9016,0.8904
0.8779,0.9013,0.8895
0.8782,0.8993,0.8886
0.8781,0.901,0.8894
0.8781,0.9012,0.8895
0.881,0.9016,0.8912
0.8804,0.9021,0.8911
0.88,0.9024,0.8911
0.8796,0.9016,0.8905
0.8736,0.8978,0.8856
0.8736,0.8981,0.8857
0.8737,0.8986,0.886
0.8723,0.8961,0.884
0.8759,0.8986,0.8871
0.8749,0.8988,0.8867
0.8737,0.8983,0.8858
0.8732,0.8969,0.8849
0.8749,0.8981,0.8863
0.8744,0.8985,0.8863
