Precision,Recall,F1
0.9817,0.9817,0.9817
0.9819,0.9819,0.9819
0.9815,0.9815,0.9815
0.9818,0.9818,0.9818
0.9819,0.9819,0.9819
0.9817,0.9817,0.9817
0.9818,0.9818,0.9818
0.9813,0.9813,0.9813
0.9822,0.9822,0.9822
0.9817,0.9817,0.9817
0.981,0.981,0.981
0.9812,0.9812,0.9812
0.9809,0.9809,0.9809
0.981,0.981,0.981
0.9808,0.9808,0.9808
0.9807,0.9807,0.9807
0.9816,0.9816,0.9816
0.981,0.981,0.981
0.981,0.981,0.981
0.9807,0.9807,0.9807
