Precision,Recall,F1
0.9769,0.9769,0.9769
0.9771,0.9771,0.9771
0.9771,0.9771,0.9771
0.9769,0.9769,0.9769
0.9768,0.9768,0.9768
0.9765,0.9765,0.9765
0.9767,0.9767,0.9767
0.977,0.977,0.977
0.9767,0.9767,0.9767
0.9764,0.9764,0.9764
0.9587,0.9587,0.9587
0.9583,0.9583,0.9583
0.9585,0.9585,0.9585
0.9584,0.9584,0.9584
0.9581,0.9581,0.9581
0.9583,0.9583,0.9583
0.9585,0.9585,0.9585
0.9583,0.9583,0.9583
0.9584,0.9584,0.9584
0.9583,0.9583,0.9583
