Precision,Recall,F1
0.914,0.9126,0.9133
0.9135,0.9119,0.9127
0.9155,0.9138,0.9146
0.9141,0.9121,0.9131
0.9143,0.9124,0.9133
0.914,0.9126,0.9133
0.9144,0.9124,0.9134
0.9111,0.9098,0.9105
0.9133,0.9117,0.9125
0.9128,0.9107,0.9117
0.9049,0.9029,0.9039
0.9039,0.902,0.903
0.9042,0.9023,0.9032
0.9023,0.9004,0.9013
0.9026,0.901,0.9018
0.904,0.9019,0.903
0.9025,0.9006,0.9015
0.9055,0.9034,0.9045
0.9032,0.9017,0.9025
0.9042,0.9024,0.9033
