Precision,Recall,F1
0.981,0.981,0.981
0.9809,0.9809,0.9809
0.9811,0.9811,0.9811
0.9817,0.9817,0.9817
0.9814,0.9814,0.9814
0.9813,0.9813,0.9813
0.9815,0.9815,0.9815
0.9815,0.9815,0.9815
0.9816,0.9816,0.9816
0.9816,0.9816,0.9816
0.9703,0.9703,0.9703
0.9697,0.9697,0.9697
0.9703,0.9703,0.9703
0.97,0.97,0.97
0.9702,0.9702,0.9702
0.9699,0.9699,0.9699
0.9704,0.9704,0.9704
0.9696,0.9696,0.9696
0.9695,0.9695,0.9695
0.9699,0.9699,0.9699
