Precision,Recall,F1
0.9809,0.9809,0.9809
0.9813,0.9813,0.9813
0.9812,0.9812,0.9812
0.9813,0.9813,0.9813
0.9809,0.9809,0.9809
0.9814,0.9814,0.9814
0.981,0.981,0.981
0.9813,0.9813,0.9813
0.9807,0.9807,0.9807
0.9804,0.9804,0.9804
0.9446,0.9446,0.9446
0.9459,0.9459,0.9459
0.947,0.947,0.947
0.9456,0.9456,0.9456
0.9467,0.9467,0.9467
0.9465,0.9465,0.9465
0.946,0.946,0.946
0.9455,0.9455,0.9455
0.9462,0.9462,0.9462
0.947,0.947,0.947
